,title,price,location,description,link,Kilométrage,Couleur du véhicule,Etat du véhicule,Année,Cylindrée,Boite,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant
10,Kia rio 2013,30.0,Gabès,"Kia rio 2 eme main tres bien entretenu Nthifa barcha machya 199 alf Tt option✌️ ⚡ Voiture très puissant , tres propre 0 défaut 0 masrouf . Consommation resonable et papier en regle ⚡Dahnet dar kol chy fel origine ⚡ Essence ⚡ 5 cheveux ⚡Climatiseur glace ⚡5 jantes allum ⚡4 vitre électrique ⚡Bluetooth usb aux ⚡Rétroviseur rabatable .. 💯 Phase complet 💯 Prix : 30 mill 💵💵 disponible f gabes 📞📱 Afficher📱📞",https://www.tayara.tn/item/64203e7c40a1c5493b82f132/,199.0,Bleu,Avec kilométrage,2013,1.4L,Manuelle,Kia,Rio,5.0,Berline,Essence
11,Ibiza 1ér main ,43800.0,Tunis,"A vendre Une Seat Ibiza modéle 2020/10/13 1ér main 46000km 4cv essence 1.0l toutes options sauf les jantes aluminium Voiture très économique en état presque comme neuve très propre Contacter le "" Afficher "" ou "" Afficher "" pour plus d'informations",https://www.tayara.tn/item/64203e6f40a1c5493b82f12c/,46000.0,Bleu,Nouveau,2020,<1.0L,Manuelle,Seat,Ibiza,4.0,Autres,Essence
12,AV Ford Figo très propre ,24000.0,Tunis,"Suite décès du propriétaire, les héritiers mettent en vente en voiture Ford Figo bien entretenu. - Age: 8 ans - Puissance fiscale: 5 ch - Climatiseur opérationnel - Alarm et fermeture centrale - Kilometrage: 91K Prix peu négociable",https://www.tayara.tn/item/6412eaca40a1c5493b817de7/,91000.0,Gris,Avec kilométrage,2014,1.2L,Manuelle,Ford,Fiesta,5.0,Compacte,Essence
13,Rio Coupé toutes options 2017,43800.0,La Manouba,"A vendre Une Kia Rio Coupé modéle 2017/06/ Afficherkm 5cv essence toutes options Voiture en état impeccable trés propre Contacter le "" Afficher "" ou "" Afficher "" pour plus d'informations",https://www.tayara.tn/item/64203a78f87420510e57189f/,115000.0,Gris,Nouveau,2017,1.2L,Manuelle,Kia,Rio,5.0,Autres,Essence
14,voiture Ford Escort,3000.0,Monastir,Ford Escorté moter akhel nthif esonse est gaz +w3aha moteur e5er kemel bel bouat +4biben +s9af+baaaarcha ecseswar eter m3aha wra9eha 5alsin b 3000d,https://www.tayara.tn/item/6420396840a1c5493b82f0b3/,600000.0,Gris,Avec kilométrage,1987,1.7L,Manuelle,Ford,Escort,5.0,Autres,Essence
15,C ELYSEE PREMIÈRE MAIN EN EXCELLENT ÉTAT ,29800.0,Bizerte, TPH Afficher 61000 KM PRIX 29800 5 CV ESSENCE VOITURE C ELYSEE NOUVEAU MODÈL PREMIERE MAIN EN EXCELLENT ÉTAT TOUTE OPTIONS ORDINATEUR DE BORD BLOO TOUTH TÉLÉPHONE A MAIN LIBRE VOITURE TRÈS PROPRE INTÉRIEUR ET EXTÉRIEUR JAMAIS TOUCHÉE VISIBLE A BIZERTE ,https://www.tayara.tn/item/6420372ff87420510e57184d/,61000.0,Blanc,Avec kilométrage,2020,1.2L,Manuelle,Citroen,C-Elysée,5.0,Berline,Essence
16,Location serie noir,80.0,Tunis,Location voiture serie noir ,https://www.tayara.tn/item/642033faf87420510e5717ef/,2863.0,Noir,Avec kilométrage,2019,<1.0L,Manuelle,Hyundai,Grand i10,5.0,Compacte,Essence
17,301 PREMIERE MAIN TRÈS PROPRE ,29000.0,Bizerte,TELEPHONE Afficher PEUGEOT 301PURETECH NOUVEAU MODÈLE PREMIÈREMAIN EN ETAT NEUF VOITURE A L'ETAT ORIGINE PEINTURE DE LA MAISON TOUTE OPTION ORDINATEUR DE BORD VITRES ELECTRIQUES BLOO TOUTH TÉLÉPHONE A MAIN LIBRE CLIMATISEUR EN FONCTION CONNECTIVITÉ AUX VITRES TEINTE D'ORIGINE FERMETURE CENTRALISÉE FIXATION ISOFLEX DISPONIBLE A BIZERTEVILLE ,https://www.tayara.tn/item/64203374f87420510e5717df/,65000.0,Gris,Avec kilométrage,2019,1.2L,Manuelle,Peugeot,301,5.0,Berline,Essence
18,Caddy,55000.0,Ben Arous,Vw caddy prestige tt options état d'origine et neuf année 2020.voiture jdida,https://www.tayara.tn/item/64203351f87420510e5717d7/,50000.0,Marron,Avec kilométrage,2020,1.5L,Manuelle,Volkswagen,Caddy,5.0,Utilitaire,Diesel
19,"🚘LAND ROVER RANGE ROVER VOGUE 🚘
📲 Tel : 21 36 36 36 ",135000.0,Tunis,✅ Modèle 08/2012 ✅ Première main ✅ 200.000km ✅ Ex voiture ambassade ✅ Tu 233 ✅ entretien maison ✅ Essence 29cv V8 ✅ Boîte automatique ✅ Toit ouvrant ✅ Compteur digital ✅ Fonction démarrage sans clé KEYLESS GO ✅ Radar arrière | Radar avant ✅ Climatronique | bizone ✅ USB | Bluetooth | ✅ Commandes au Volant ✅ Feux Full led | Adaptatifs ✅ Sièges Cuir ✅ Rétroviseurs électriques | Rabattable | photosensible ✅ Volant Cuir | Multifonctions ✅ régulateur de vitesse ✅ limiteur de Vitesse 💰135.000💰 🔄 Possibilité d’échange 🔄 📲 Tel : Afficher72 312 📱 📌Adresse : Route GP9 en face Stade de La Marsa.📌,https://www.tayara.tn/item/6407640fff75361c11d6a8ea/,200000.0,Noir,Avec kilométrage,2012,>4.0L,Automatique,Land Rover,Range Rover Sport,29.0,4 x 4,Essence
20,Class c coupé a vendre,145.0,Sfax,Mercedes Classe C coupé Model 2017 Ttes options 130 000 km (Kilometrage certifié) Boite auto Kit AMG Detecteur de recul av et arr Palettes au volant Toit pano ouvrant Retroviseur rabattable Interieur en bois moucheté Cuir en marron Voiture presque neuf Pou tte personne intéressée Appelez Afficher De 10h a 20h,https://www.tayara.tn/item/64202e8ef87420510e571750/,130000.0,Noir,Avec kilométrage,2017,1.8L,Automatique,Mercedes-Benz,Classe C,8.0,Autres,Essence
21,Voiture à vendre (Kia),108000.0,Sidi Bouzid,Voiture en bonne état à vendre ,https://www.tayara.tn/item/64202e23f87420510e571747/,75000.0,Vert,Avec kilométrage,2018,>4.0L,Automatique,Kia,Sportage,7.0,4 x 4,Diesel
22,SUZUKI SWIFT,49000.0,Ben Arous,"A vendre voiture Suzuki Swift 4 portes modèle 2022 automatique état neuf kilométrage 7900 Essence Toutes options : jantes aluminium, écran tactile volant multi tache Financier par le leasing",https://www.tayara.tn/item/64202d1c40a1c5493b82ef55/,7900.0,Blanc,Nouveau,2022,>4.0L,Automatique,Suzuki,Swift,5.0,Autres,Essence
23,👉GOLF 7 BVA 2020💎 ❤️👌,0.0,Tunis,"Golf 7 boite auto 💎 voiture très très propre comme neuve ❤️👌 ☑️➡ année 1/2020⛽️ énergie :essence 6 cv. 1197 cm3 ✌ 100000 km 🏠⛳Voiture visible dans notre Show-Room HBIB AUTO route de la Marsa en face carrefour pour visite heure travail de 10.00 H jusqu’à 19:00H👌 ☑️➡ volant Multifonctions ☑️➡ Radar de recul ☑️➡ écran qui affiche toute les options de la voiture . ☑️➡ retro electrique Chauffaut ☑️➡ salon tout en cuir rouge cerise . ☑️➡ couleur extérieur : noir .☑️➡ jantes allum 17 ‘’ avec des pneus Run- flat ☑️➡☎️-📲 TEL Afficher//// Afficher ⛔📵🕢SVP pas de dérangement après 19.00H ⛔️ Pour les sérieux, Curieux s’abstenir",https://www.tayara.tn/item/64196dd740a1c5493b8262fe/,100000.0,Noir,Nouveau,2020,1.2L,Automatique,Volkswagen,Golf 7,6.0,Utilitaire,Essence
24,👉BMW 418 i KIT M GRAN COUPE🚘❤️👌,0.0,Tunis,"👉bmw 418 i KIT M 💎 voiture très très propre comme neuve ❤️👌 ☑️➡ année 9/2019⛽️ énergie :essence 7c✌ 90000 km 🏠⛳Voiture visible dans notre Show-Room HBIB AUTO route de la Marsa en face carrefour pour visite heure travail de 08:30 H jusqu’à 19:00H👌 ☑️➡ toit ouvrant électrique . ☑️➡ Sono harman kardon ☑️➡ volant Multifonctions M avec palettes. ☑️➡ camera de recul avec radar av/ ar keyless go ☑️➡ grand écran qui affiche toute les options de la voiture . ☑️➡ retro electrique rabatable ☑️➡ salon tout en alcantara. ☑️➡ couleur extérieur bleu électrique M ☑️➡ malle arriere electrique hayon. ☑️➡ jantes allum 18’’ avec des pneus Run- flat ☑️➡☎️-📲 TEL Afficher//// Afficher ⛔📵🕢SVP pas de dérangement après 19.00H ⛔️ Pour les sérieux, Curieux s’abstenir",https://www.tayara.tn/item/64196f5140a1c5493b82636a/,90000.0,Bleu,Avec kilométrage,2019,1.6L,Automatique,BMW,Serie 4,7.0,Berline,Essence
25,🇯🇵🇯🇵🇯🇵KIA RIO COUPÉ SX 🇯🇵🇯🇵🇯🇵,1.0,Ben Arous,"🇯🇵🇯🇵🇯🇵KIA RIO COUPÉ SX 🇯🇵🇯🇵🇯🇵 🇯🇵🇯🇵🇯🇵 PREMIÈRE MAIN🇯🇵🇯🇵🇯🇵 ⛽ ESSENCE 5 CV Fiscaux . 📆 2019 TU 210 🎰 110 000 km ⛔ Voiture Puissante , toutes Options RADAR DE RECULE AVEC CAMÉRA , ,VOLANT MULTIFONCTIONS, VITRES ÉLECTRIQUES,RÉTROVISEURS RABATABLE ÉLECTRIQUES, BLUETOOTH TÉLÉPHONE , JENTE ALLU 16 POUCE VOITURE EN EXCELLENTE ÉTAT ☎️ TEL : Afficher // Afficher 🏢 Disponible à Notre Showroom EZZAHRA à côté maison Renault",https://www.tayara.tn/item/6409f86aff75361c11d71deb/,110.0,Rouge,Avec kilométrage,2019,1.2L,Manuelle,Kia,Rio,5.0,Compacte,Essence
26,🇩🇪MINI ONE 4 PORTE🇩🇪,1.0,Ben Arous,🇩🇪MINI ONE 4 PORTE🇩🇪 🇩🇪 PREMIÈRE MAIN 🇩🇪 💎 VOITURE PUISSANTE 📟 70 000 KM ‼️‼️certifié entretien maison Fin 2017 Tu 199 ⛽ Essence 5 CV Peinture d'origine Possibilité d'échange ⛔Voiture Puissante et robuste 📍 Toute Options : voiture excellente état toit panoramic ouvrant feu d'àmbiance start /stope et pleine d’autres options Bienvenue à notre shooroum EZZAHRA à côté maison Renault ezzahra agence rayen auto ☎️ TEL : Afficher // Afficher,https://www.tayara.tn/item/640343018575ab54182daf28/,70.0,Beige,Avec kilométrage,2017,1.4L,Manuelle,mini,One,5.0,Compacte,Essence
27,301 NOUVEAU MODEL PREMIERE MAIN ,29500.0,Ariana,TELEPHONE Afficher VOITURE 301 NOUVEAU MODEL TRÈS PROPRE TOUTE OPTION ORDINATEUR DE BORD BLOO TOUTH CONNECTIVITÉ AUX VITRES ELECTRIQUES CLIMATISEUR EN FONCTION VISIBLE A ARIANA VILLE,https://www.tayara.tn/item/64202938f87420510e5716ac/,60000.0,Blanc,Avec kilométrage,2019,1.2L,Manuelle,Peugeot,301,5.0,Berline,Essence
28,fiat Palio état neuf ,15800.0,Ariana,voiture en très bonne état Num Afficher ,https://www.tayara.tn/item/6420291040a1c5493b82eedf/,181.0,Gris,Nouveau,2008,1.2L,Manuelle,Fiat,Palio,5.0,Compacte,Essence
29,"Kia rio coupée
1ére main
",0.0,Sfax,"Kia rio coupée 1ére main ✅ Voiture en excellent état ⛔ Puissance fiscale : 5cv ⛔ Date de mise en circulation : 2014 ⛔ Boite : manuelle boite 5 Options : ➡️klm 160000 ➡️ radar de recule arrière ➡️ Bluetooth , Aux , USB ➡ Regulateur de vitesse ➡ Climatisation automatique bizone ➡️ volant multifonctions ",https://www.tayara.tn/item/64031f5107b6d5262f84520f/,167000.0,Rouge,Nouveau,2014,1.2L,Manuelle,Kia,Rio,5.0,Compacte,Essence
30,tél 99124454,1.0,Ben Arous,voiture propre en très bonne état mécanique et carrosserie - climatisée - double airbags - assistée - volant réglable en hauteur - vitres avant électriques - fermeture centrale les 4 pneux jdod vignette 2023 khalsa et visite technique validé jusqu'à décembre 2023 ,https://www.tayara.tn/item/6420281ff87420510e571691/,210.0,Rouge,Avec kilométrage,2008,1.2L,Manuelle,Citroen,C2,5.0,Compacte,Essence
31,Aveo chaine hdid tél 98944628,17500.0,Ben Arous,voiture propre jamais accidenté toutes les vitres d'origine toutes options : - assistée - climatisée - vitres avant électriques - fermeture centrale ,https://www.tayara.tn/item/6420278540a1c5493b82eeb1/,170.0,Noir,Avec kilométrage,2009,1.2L,Manuelle,Chevrolet,Aveo,5.0,Compacte,Essence
32,MAZDA 2 2017,39500.0,Ben Arous,🌍⚡ 🇯🇵MAZDA 2 SKYATIVE 🇯🇵⚡🌎 🕹 BVM ⛽ ESSENCE 🐎 6 FISCAUX 📅 FIN 2017 Ⓜ️ 198 📟 077000 km ‼️ certifié 📛 voiture en excellente état 👌 ✅ toutes options 📲 Afficher,https://www.tayara.tn/item/6420262ef87420510e57164b/,77.0,Gris,Avec kilométrage,2017,1.2L,Manuelle,Mazda,2,6.0,Compacte,Essence
33,Suzuki celerio premier main ,26900.0,Ariana,Av Suzuki celerio premier main voiture en bon état d'origine clim assisté air bag abs connectivité USB bluetooth multi fonction au volant poste cd mp3 d'origine jeant allu feux entib vitres électriques rétroviseurs électriques fermeture centrale a distance alarme d'origine double clé et catalogues ,https://www.tayara.tn/item/642024eff87420510e571620/,102.0,Blanc,Nouveau,2018,1.2L,Manuelle,Suzuki,Celerio,5.0,Compacte,Essence
34,suxuki suffit ,28900.0,Tunis,Suzuki Swift Essence Voiture en bonne état Année Fin 2017 Première main Toutes options  Afficher,https://www.tayara.tn/item/64201e0340a1c5493b82ed9f/,97.0,Blanc,Avec kilométrage,2018,1.2L,Manuelle,Suzuki,Swift,5.0,Autres,Essence
35, Peugeot 308,23800.0,Tunis, met en vente ma voiture 308 faible kilométrage certifié 133000km,https://www.tayara.tn/item/64201d5040a1c5493b82ed8a/,133000.0,Rouge,Nouveau,2009,1.4L,Manuelle,Peugeot,308,6.0,Compacte,Essence
36,Toyota agya 1.2 boite auto ,47500.0,Tunis,A vendre agya neuf boite auto toute options Km 2500 certifié 1er main 5 cv essence voiture etat neuf puissante et économique Button start and stop Clé intelligent 4 vitre électrique Bleutooth usb .. android auto .. ipod Mise en circulation 2022/09/15 47500 un peux négociable ,https://www.tayara.tn/item/64201cf6f87420510e57154b/,2500.0,Noir,Nouveau,2022,1.2L,Automatique,Toyota,Aygo,5.0,Compacte,Essence
37,DACIA SANDERO,25.0,Kairouan,belle dacia sandero année 2014 voiture propre 4 pneus neuf .aussi la batterie et neuf voiture disponible à Kairouan svp me contacter à Afficher,https://www.tayara.tn/item/6420193740a1c5493b82ed28/,178000.0,Rouge,Avec kilométrage,2014,1.2L,Manuelle,Dacia,Sandero,5.0,Autres,Essence
38,C ELYSEE PREMIÈRE MAIN EN EXCELLENT ÉTAT ,29800.0,Bizerte, TPH Afficher 61000 KM PRIX 29800 5 CV ESSENCE VOITURE C ELYSEE NOUVEAU MODÈL PREMIERE MAIN EN EXCELLENT ÉTAT TOUTE OPTIONS ORDINATEUR DE BORD BLOO TOUTH TÉLÉPHONE A MAIN LIBRE VOITURE TRÈS PROPRE INTÉRIEUR ET EXTÉRIEUR JAMAIS TOUCHÉE VISIBLE A BIZERTE ,https://www.tayara.tn/item/642018d840a1c5493b82ed1b/,61000.0,Blanc,Avec kilométrage,2020,1.2L,Manuelle,Citroen,C-Elysée,5.0,Berline,Essence
39,voiture,26500.0,Ben Arous,avendre 308 peugot ttop,https://www.tayara.tn/item/6420181cf87420510e5714cd/,180.0,Blanc,Avec kilométrage,2012,1.4L,Manuelle,Peugeot,308,6.0,Compacte,Essence
40,bipper tepee 5 pl Vente ou échange,33650.0,Ben Arous,"vente une Peugeot BIPPER Tippée année 2012 5 places 5 cv essence propre vente ou échange voiture d'une femme et très bien entretenue ,avec kilométrage 159000 et avec double clés fermeture centrale à distance vitre éclectique assisté climatisé frein ABS feue de brouillard avant et arrière faible consommation pour la famille et la commerce 2 en 1 tout les papiers en règle visite valable au juin 2023 merci pour les sérieux contactez tel prix légèrement négociable devant la voiture et j'accepte l'échange avec voiture diesel ' gazoil tel Afficher .",https://www.tayara.tn/item/6420128bf87420510e571455/,159000.0,Rouge,Avec kilométrage,2012,1.3L,Manuelle,Peugeot,Bipper,5.0,Compacte,Essence
41,RANGE ROVER VELAR ,55555555.0,Kasserine,"💎RANGE ROVER VELAR R-DYNAMIC –SE💎 Une perle rare avec full option (+ options unique) avec un très bas kilométrage/40.000km Voiture importer direct de la maison range rover avec tt les carnets et les garanties , pour plus d infos n'hésitez a me contacter sur le num: Afficher 🏅•R-Dynamique-SE•🏅 OPTIONS ET EQUIPEMENTS : Audio - Télécommunications - Borne Wi-Fi - Commandes du système audio au volant - Commandes vocales - Disque dur multimédia - Ecran tactile - Fonction MP3 - GPS Cartographique - Interface Media - Kit mains-libres Bluetooth - Prise USB - Radio - Radio numérique DAB - Services connectés - Système Hi-Fi Surround - Système de localisation par satellite Conduite - Aide au démarrage en côte - Capteur de luminosité - Capteur de pluie - Commande du comportement dynamique - Limiteur de vitesse - Palettes changement vitesses au volant - Régulateur de vitesse - Système d'accès sans clé - Système d'assistance à la descente Extérieur - Caméra de recul - Coffre assisté électriquement - Eclairage au sol - Eclairage statique d'intersection - Feux de freinage d'urgence - Feux de jour à LED - JA 21"" 5 brch dbl 5047 Diamond Turned - Jantes Alu noir - Lave-phares - Ouverture du coffre mains-libres - Pare-brise acoustique - Phares avant LED - Phares de route adaptatifs - Poignées ton carrosserie - Radar de stationnement AR - Radar de stationnement AV - Rétroviseurs dégivrants - Rétroviseurs extérieurs électrochromes - Rétroviseurs rabattables électriquement - Rétroviseurs électriques - Système d'assistance au stationnement - Système d'éclairage intelligent - Système de mesure de place disponible Intérieur - siege et tableau de bord cuir marron - Accoudoir arrière - Accoudoir central AV avec rangement - Appui-tête conducteur réglable hauteur - Appui-tête passager réglable en hauteur - Banquette 40/20/40 - Banquette AR rabattable - Banquette arrière 3 places - Clim automatique bi-zones - Compte tours - Eclairage d'ambiance - Ecran multifonction couleur - Filtre à Pollen - Fixations Isofix aux places arrières - Miroir de courtoisie conducteur éclairé - Miroir de courtoisie passager éclairé - Ordinateur de bord - Prise 12V - Pédalier sport - Rétroviseur intérieur électrochrome - Siège conducteur réglable en hauteur - Siège conducteur à mémoire - Siège conducteur électrique - Siège passager réglable en hauteur - Siège passager à réglages électriques - Sièges rang 2 inclinables - Vitres arrière fumées - Vitres arrière électriques - Vitres avant électriques - Volant cuir - Volant multifonction - Volant réglable en profondeur et hauteur Sécurité - ABS - AFIL - Aide au freinage d'urgence - Airbag conducteur - Airbag passager - Airbags latéraux avant - Airbags rideaux - Alarme d'oubli d'extinction des feux - Alarme périmétrique - Alarme volumétrique - Antidémarrage électronique - Antipatinage - Contrôle de couple en courbe - Contrôle de freinage en courbe - Contrôle electronique de stabilité - EBD - ESP - Freinage automatique d'urgence - Pack Drive - Préparation Isofix - Reconnaissance panneaux de signalisation - Système de détection de somnolence - Système de prévention des collisions - Système de prévention des collisions AR Autres équipements et informations : - 2 USB chargeants Ar, 12V coffre - Pack Design Black R-Dynamic - Pack Hiver - Plaques seuils Av illuminées 'R-Dynamic' - Tapis de sol - Toit panoramique ouvrant .",https://www.tayara.tn/item/6408abcbff75361c11d6e27e/,40000.0,Blanc,Nouveau,2018,2.0L,Automatique,Land Rover,Range Rover,11.0,4 x 4,Diesel
42,301 NOUVEAU MODEL PREMIERE MAIN ,29500.0,Ariana,TELEPHONE Afficher VOITURE 301 NOUVEAU MODEL TRÈS PROPRE TOUTE OPTION ORDINATEUR DE BORD BLOO TOUTH CONNECTIVITÉ AUX VITRES ELECTRIQUES CLIMATISEUR EN FONCTION VISIBLE A ARIANA VILLE,https://www.tayara.tn/item/6420086240a1c5493b82ebfc/,60000.0,Blanc,Avec kilométrage,2019,1.2L,Manuelle,Peugeot,301,5.0,Berline,Essence
